Ticker,Sector,Precio_Media,Precio_Mediana,Precio_Desviacion_Std,Precio_Minimo,Precio_Maximo,Retorno_Medio_Diario(%),Retorno_Mediana_Diario(%),Volatilidad_Diaria(%),Volatilidad_Anualizada(%),Sharpe_Ratio,Max_Drawdown(%)
BMY,salud_farmaceuticas,55.98961182451185,56.76472091674805,8.597294694950193,38.18326950073242,72.96261596679688,-0.04582720666387184,-0.037694006034200006,1.4469752036955421,22.9700192535326,-0.6314539621334077,-47.6673512938345
JNJ,salud_farmaceuticas,153.84751156506786,153.67572021484375,6.954291549106315,138.89886474609375,168.22625732421875,0.0019905201544740143,0.02241360247956,1.0628193627128009,16.871734333933354,-0.14547659778901068,-17.433302651204418
LLY,salud_farmaceuticas,587.3091244235299,580.58203125,223.07158114164494,277.9637145996094,956.78369140625,0.13112682699506983,0.16869582645322,1.8359514419182699,29.14482560703713,1.0323584439930442,-24.652773702177043
MRK,salud_farmaceuticas,102.15590264471086,101.63031768798828,13.39000076537224,76.45999908447266,129.90525817871094,0.013310230213475526,0.057756253962709996,1.325590292603613,21.04309352754302,0.01891948180749268,-41.14172116167425
PFE,salud_farmaceuticas,31.678344544186537,28.203014373779297,6.9556491008052195,21.18583297729492,47.41004180908203,-0.06847284513706264,-0.09379241212269,1.5105312629185887,23.97894041562545,-0.8428733802598561,-55.31361675948472
AMZN,tecnologia,150.42018277394976,143.10000610351562,40.93785553558186,81.81999969482422,242.0599975585937,0.08814930680607025,0.041786492458535,2.150772785040951,34.14245949494482,0.5640358665242874,-43.48666916377661
GOOG,tecnologia,137.77222740507696,135.99588012695312,31.22093584339834,83.09642028808594,207.4736328125,0.06523523955615565,0.131454718142705,1.963968490734281,31.177033255498614,0.43247305377092304,-32.05566168509054
META,tecnologia,359.69763437906903,319.6434631347656,176.31935866581583,88.49293518066406,736.0151977539062,0.16082637133920988,0.15908878606231003,2.3000282962117877,36.51181728112797,1.02904195919804,-56.119827665391455
MSFT,tecnologia,343.3071408417437,354.5599975585937,73.33691524309951,209.77767944335932,464.8543395996094,0.07678520066520828,0.08046568047075,1.6657274118396441,26.442602902505794,0.6199774295839399,-26.83928450173091
NVDA,tecnologia,65.57259834208494,46.94137573242188,45.56509529841517,11.21493911743164,149.41624450683594,0.26421911951522875,0.34487251119922996,2.9915168774251097,47.48885820311601,1.33983353015286,-42.666849591135524
